Rubro,Proveedor,Accesorio,Stock,Costo Base,Flete,% Ganancia,Lista 1 (Cheques),Lista 2 (Efectivo),Descripcion
CERRADURAS,Sunshine,H51 MODENA COMPUTADA,20,14153.007,266.0,50.0,21628.51,19465.66,Cerradura para modena computada con tres llaves.
MULTIPUNTO,Sunshine,MULTIPUNTO CON CUADRANTE MOD90,90,7722.0,266.0,72.0,13739.36,12365.42,Multipunto con cuadrante manija estandar para modena 90
MULTIPUNTOS,Sunshine,MULTIPUNTO CON CUADRANTE STD A30,90,8934.75,266.66,72.0,15826.4252,14243.78268,Multipunto con cuadrante manija estandar para mod45/A30
BISAGRAS,QBO,H61 BISAGRA NEGRA,196,2501.52,100.0,72.0,4474.6144,4027.15296,
BISAGRAS,QBO,H61 BISAGRA BLANCA,200,2501.52,100.0,72.0,4474.6144,4027.15296,
BISAGRAS,QBO,H62 BISAGRA NEGRA,100,3257.58,100.0,72.0,5775.0376,5197.53384,
BISAGRAS,QBO,H62 BISAGRA BLANCA,100,3257.58,100.0,72.0,5775.0376,5197.53384,
RODAMIENTOS,QBO,R40/R48 RODAMIENTO SIMPLE MOD 90/45,200,1228.54,100.0,72.0,2285.0888,2056.57992,
RODAMIENTOS,QBO,R42/R49 RODAMIENTO DOBLE MOD 90/45,120,2171.19,100.0,72.0,3906.4468,3515.8021200000003,
RODAMIENTOS,QBO,R47 RODAMIENTO DOBLE A30,80,2789.35,100.0,72.0,4969.682,4472.7138,
ESCUADRAS,QBO,E69 COMUNELLO,250,1042.01,100.0,40.0,1598.814,1438.9326,
ESCUADRAS,QBO,E70 COMUNELLO,150,1516.57,100.0,40.0,2263.198,2036.8782,
BRAZO DE EMPUJE,QBO,H63 CORTO,50,9478.24,100.0,72.0,16474.572799999998,14827.11552,
PLASTICOS,QBO,T87 CLIP TAPA PREMARCO X 100,10,6857.66,100.0,72.0,11967.1752,10770.45768,
PLASTICOS,QBO,T88 TACO REGULADOR X 100,10,9543.98,100.0,72.0,16587.6456,14928.88104,
PLASTICOS,QBO,T89 TOPE PARANTE LATERAL X 100,10,3723.6,100.0,72.0,6576.592,5918.9328,
PLASTICOS,QBO,T90 TOPE PARANTE CENTRAL X 100,10,8111.27,100.0,72.0,14123.3844,12711.04596,
PLASTICOS,QBO,T91 TAPON LATERAL X 100,10,5738.72,100.0,72.0,10042.5984,9038.33856,
PLASTICOS,QBO,T95 TAPA TORNILLO X 200,10,4260.87,0.0,72.0,7328.6964,6595.82676,
PLASTICOS,QBO,T96 CLIP CONTRA VIDRIO X 100,10,3813.16,0.0,72.0,6558.6352,5902.77168,
